Start time: 2025-01-01T00:00:03.120000Z 
End time: 2025-01-13T22:17:23.130000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 10.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-01-01T12:40:29.630000Z | Window=±12s | Peak=2.1776e+02 | Mean=3.2185e+00
Trigger=2025-01-01T14:24:35.750000Z | Window=±12s | Peak=7.8901e+01 | Mean=1.8936e+00
Trigger=2025-01-01T14:28:33.760000Z | Window=±12s | Peak=2.4093e+01 | Mean=1.6557e+00
Trigger=2025-01-01T15:39:58.810000Z | Window=±12s | Peak=3.2840e+02 | Mean=3.5298e+00
Trigger=2025-01-02T03:23:28.010000Z | Window=±12s | Peak=1.4658e+01 | Mean=1.5026e+00
Trigger=2025-01-02T08:48:43.840000Z | Window=±12s | Peak=4.7700e+03 | Mean=3.3646e+01
Trigger=2025-01-02T12:50:56.650000Z | Window=±12s | Peak=3.7734e+01 | Mean=1.5818e+00
Trigger=2025-01-02T14:07:13.070000Z | Window=±12s | Peak=7.6846e+02 | Mean=4.0830e+00
Trigger=2025-01-02T14:13:39.030000Z | Window=±12s | Peak=4.3421e+02 | Mean=2.8886e+00
Trigger=2025-01-02T15:51:47.180000Z | Window=±12s | Peak=1.1023e+02 | Mean=2.1308e+00
Trigger=2025-01-02T16:34:41.740000Z | Window=±12s | Peak=6.1167e+01 | Mean=2.2762e+00
Trigger=2025-01-02T22:05:50.350000Z | Window=±12s | Peak=4.5345e+01 | Mean=1.6342e+00
Trigger=2025-01-02T22:39:45.140000Z | Window=±12s | Peak=1.5398e+01 | Mean=1.4922e+00
Trigger=2025-01-03T01:52:59.240000Z | Window=±12s | Peak=7.0197e+02 | Mean=2.8128e+00
Trigger=2025-01-03T02:00:24.490000Z | Window=±12s | Peak=1.7626e+01 | Mean=1.5513e+00
Trigger=2025-01-03T03:05:10.610000Z | Window=±12s | Peak=8.1594e+01 | Mean=3.8106e+00
Trigger=2025-01-03T05:33:55.880000Z | Window=±12s | Peak=1.1975e+02 | Mean=2.0236e+00
Trigger=2025-01-03T05:38:16.310000Z | Window=±12s | Peak=5.6937e+01 | Mean=1.9244e+00
Trigger=2025-01-03T07:40:41.080000Z | Window=±12s | Peak=2.5041e+01 | Mean=1.5039e+00
Trigger=2025-01-03T13:43:44.190000Z | Window=±12s | Peak=1.7549e+01 | Mean=1.4878e+00
Trigger=2025-01-03T16:07:27.930000Z | Window=±12s | Peak=4.9408e+01 | Mean=2.2011e+00
Trigger=2025-01-04T01:59:40.340000Z | Window=±12s | Peak=1.7926e+01 | Mean=1.4690e+00
Trigger=2025-01-04T03:38:40.530000Z | Window=±12s | Peak=1.4315e+01 | Mean=1.4394e+00
Trigger=2025-01-04T14:10:36.200000Z | Window=±12s | Peak=4.0324e+01 | Mean=1.7780e+00
Trigger=2025-01-05T01:58:49.190000Z | Window=±12s | Peak=1.5384e+01 | Mean=1.4925e+00
Trigger=2025-01-05T04:34:12.410000Z | Window=±12s | Peak=1.7314e+01 | Mean=1.5246e+00
Trigger=2025-01-05T10:35:49.530000Z | Window=±12s | Peak=1.3586e+03 | Mean=1.5339e+01
Trigger=2025-01-05T16:47:59.980000Z | Window=±12s | Peak=3.3706e+03 | Mean=7.4240e+00
Trigger=2025-01-05T17:35:35.430000Z | Window=±12s | Peak=3.3433e+02 | Mean=3.0587e+00
Trigger=2025-01-05T17:42:06.690000Z | Window=±12s | Peak=5.1266e+02 | Mean=2.3277e+00
Trigger=2025-01-05T18:00:03.310000Z | Window=±12s | Peak=3.1470e+01 | Mean=1.7464e+00
Trigger=2025-01-06T13:16:19.110000Z | Window=±12s | Peak=9.0768e+01 | Mean=2.1669e+00
Trigger=2025-01-06T18:19:18.140000Z | Window=±12s | Peak=3.7955e+01 | Mean=1.6558e+00
Trigger=2025-01-07T01:15:47.540000Z | Window=±12s | Peak=3.0621e+01 | Mean=1.5636e+00
Trigger=2025-01-07T01:15:51.600000Z | Window=±12s | Peak=1.8091e+01 | Mean=1.5133e+00
Trigger=2025-01-07T01:15:57.350000Z | Window=±12s | Peak=2.1699e+01 | Mean=1.4911e+00
