Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T00:12:35.720000Z | Window=±12s | Peak=1.0527e+04 | Mean=4.9868e+01
Trigger=2025-02-01T00:48:13.080000Z | Window=±12s | Peak=4.9414e+02 | Mean=3.2619e+00
Trigger=2025-02-01T02:56:39.630000Z | Window=±12s | Peak=2.8915e+02 | Mean=3.2338e+00
Trigger=2025-02-01T02:57:19.780000Z | Window=±12s | Peak=1.0295e+03 | Mean=1.0362e+01
Trigger=2025-02-01T03:42:12.590000Z | Window=±12s | Peak=3.1942e+02 | Mean=3.4637e+00
Trigger=2025-02-01T03:51:45.400000Z | Window=±12s | Peak=6.3453e+02 | Mean=5.3719e+00
Trigger=2025-02-01T03:52:21.480000Z | Window=±12s | Peak=9.8210e+02 | Mean=8.7733e+00
Trigger=2025-02-01T04:26:59.890000Z | Window=±12s | Peak=6.5029e+02 | Mean=3.0826e+00
Trigger=2025-02-01T04:34:33.360000Z | Window=±12s | Peak=1.3811e+03 | Mean=3.4437e+00
Trigger=2025-02-01T04:35:20.980000Z | Window=±12s | Peak=5.7236e+03 | Mean=8.3486e+00
Trigger=2025-02-01T05:08:53.200000Z | Window=±12s | Peak=3.6618e+02 | Mean=4.4706e+00
Trigger=2025-02-01T05:14:02.850000Z | Window=±12s | Peak=3.5670e+02 | Mean=2.9628e+00
Trigger=2025-02-01T05:33:14.970000Z | Window=±12s | Peak=7.4799e+02 | Mean=3.0716e+00
Trigger=2025-02-01T05:39:06.480000Z | Window=±12s | Peak=1.0073e+03 | Mean=5.6946e+00
Trigger=2025-02-01T05:46:05.080000Z | Window=±12s | Peak=8.9839e+02 | Mean=2.5959e+00
Trigger=2025-02-01T06:02:04.580000Z | Window=±12s | Peak=3.4260e+03 | Mean=6.1960e+00
Trigger=2025-02-01T06:15:38.050000Z | Window=±12s | Peak=1.3806e+03 | Mean=9.4474e+00
Trigger=2025-02-01T06:22:16.300000Z | Window=±12s | Peak=9.9554e+02 | Mean=3.4462e+00
Trigger=2025-02-01T06:29:14.420000Z | Window=±12s | Peak=1.9733e+03 | Mean=6.3613e+00
Trigger=2025-02-01T06:37:24.160000Z | Window=±12s | Peak=3.2648e+03 | Mean=8.7025e+00
Trigger=2025-02-01T06:54:26.160000Z | Window=±12s | Peak=1.3040e+03 | Mean=4.7119e+00
Trigger=2025-02-01T06:59:50.620000Z | Window=±12s | Peak=2.7118e+03 | Mean=6.6450e+00
Trigger=2025-02-01T07:20:26.960000Z | Window=±12s | Peak=5.2030e+02 | Mean=5.4601e+00
Trigger=2025-02-01T07:28:43.200000Z | Window=±12s | Peak=3.9668e+02 | Mean=3.5124e+00
Trigger=2025-02-01T08:33:54.130000Z | Window=±12s | Peak=7.6514e+02 | Mean=4.0590e+00
Trigger=2025-02-01T08:47:33.600000Z | Window=±12s | Peak=8.5779e+02 | Mean=4.6629e+00
Trigger=2025-02-01T08:50:06.560000Z | Window=±12s | Peak=1.8813e+03 | Mean=7.4734e+00
Trigger=2025-02-01T09:37:03.270000Z | Window=±12s | Peak=1.3042e+03 | Mean=3.2673e+00
Trigger=2025-02-01T09:48:14.580000Z | Window=±12s | Peak=4.9550e+01 | Mean=2.3185e+00
Trigger=2025-02-01T09:54:05.070000Z | Window=±12s | Peak=5.3881e+02 | Mean=5.8255e+00
Trigger=2025-02-01T09:54:43.890000Z | Window=±12s | Peak=1.1623e+03 | Mean=5.8686e+00
