Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 50), QRANGE = (32, 64), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 10.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T12:30:34.920000Z | Window=±12s | Peak=3.4383e+02 | Mean=9.6621e+00
Trigger=2025-02-02T20:54:27.190000Z | Window=±12s | Peak=1.6435e+01 | Mean=1.5293e+00
Trigger=2025-02-03T01:11:37.160000Z | Window=±12s | Peak=1.8597e+01 | Mean=1.5257e+00
Trigger=2025-02-03T02:50:51.520000Z | Window=±12s | Peak=1.4000e+01 | Mean=1.4419e+00
Trigger=2025-02-03T03:13:02.130000Z | Window=±12s | Peak=1.3308e+01 | Mean=1.4531e+00
Trigger=2025-02-03T09:48:44.540000Z | Window=±12s | Peak=8.3686e+02 | Mean=3.4181e+00
Trigger=2025-02-03T12:26:41.330000Z | Window=±12s | Peak=2.5385e+01 | Mean=1.5955e+00
Trigger=2025-02-03T12:45:29.360000Z | Window=±12s | Peak=1.0557e+02 | Mean=1.8928e+00
Trigger=2025-02-03T14:55:03.140000Z | Window=±12s | Peak=1.1619e+02 | Mean=2.0210e+00
Trigger=2025-02-03T15:10:39.800000Z | Window=±12s | Peak=2.6329e+02 | Mean=1.8512e+00
Trigger=2025-02-03T18:14:29.800000Z | Window=±12s | Peak=2.4464e+02 | Mean=1.9034e+00
Trigger=2025-02-03T18:20:40.740000Z | Window=±12s | Peak=3.5919e+02 | Mean=2.2810e+00
Trigger=2025-02-04T02:17:24.730000Z | Window=±12s | Peak=1.8312e+01 | Mean=1.4837e+00
Trigger=2025-02-04T03:43:25.970000Z | Window=±12s | Peak=3.2130e+01 | Mean=1.5099e+00
Trigger=2025-02-04T05:11:16.330000Z | Window=±12s | Peak=7.7347e+02 | Mean=4.8967e+00
Trigger=2025-02-04T17:46:18.060000Z | Window=±12s | Peak=1.5735e+02 | Mean=1.9074e+00
Trigger=2025-02-05T19:17:37.710000Z | Window=±12s | Peak=1.2913e+02 | Mean=2.4186e+00
