perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
90,12,40,cosine,0.35032461509954776,0.7735239375166125,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_cosine.pdf,OK,
80,10,40,cosine,0.35032461509954776,0.7720301234409472,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_cosine.pdf,OK,
80,300,40,manhattan,0.18691083958386828,0.7718257468309856,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e300_pca40_manhattan.pdf,OK,
20,14,40,euclidean,0.18691083958386828,0.7705778446400101,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e14_pca40_euclidean.pdf,OK,
40,300,40,euclidean,0.18691083958386828,0.770215237762287,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e300_pca40_euclidean.pdf,OK,
60,100,40,cosine,0.43902228105585533,0.7693007885231636,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e100_pca40_cosine.pdf,OK,
90,14,40,cosine,0.35032461509954776,0.7692661840844907,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_cosine.pdf,OK,
80,12,40,cosine,0.35032461509954776,0.7690071739832368,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_cosine.pdf,OK,
100,10,40,euclidean,0.18691083958386828,0.7687276791306593,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_euclidean.pdf,OK,
60,100,40,euclidean,0.18691083958386828,0.7679952958085206,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e100_pca40_euclidean.pdf,OK,
70,10,40,cosine,0.35032461509954776,0.7675686477554039,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e10_pca40_cosine.pdf,OK,
60,300,40,manhattan,0.18691083958386828,0.7671156119903383,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e300_pca40_manhattan.pdf,OK,
10,100,40,euclidean,0.18691083958386828,0.7667998822951987,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
70,12,40,cosine,0.35032461509954776,0.7659975789081951,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e12_pca40_cosine.pdf,OK,
10,100,40,manhattan,0.18691083958386828,0.7647495143730103,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
90,10,40,euclidean,0.18691083958386828,0.7644245731233444,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_euclidean.pdf,OK,
100,20,40,cosine,0.35032461509954776,0.7636008976344404,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_cosine.pdf,OK,
100,12,40,euclidean,0.18691083958386828,0.7632457549328591,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e12_pca40_euclidean.pdf,OK,
80,14,40,cosine,0.35032461509954776,0.7629402341864594,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e14_pca40_cosine.pdf,OK,
50,300,40,manhattan,0.18691083958386828,0.7626691132360859,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e300_pca40_manhattan.pdf,OK,
100,100,40,cosine,0.43902228105585533,0.7626503658619993,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e100_pca40_cosine.pdf,OK,
20,20,40,euclidean,0.18691083958386828,0.7617388737799136,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e20_pca40_euclidean.pdf,OK,
90,100,40,cosine,0.43902228105585533,0.7614977186734136,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e100_pca40_cosine.pdf,OK,
90,20,40,cosine,0.35032461509954776,0.7612015507074976,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_cosine.pdf,OK,
70,100,40,manhattan,0.18691083958386828,0.7609448820581383,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e100_pca40_manhattan.pdf,OK,
70,14,40,cosine,0.35032461509954776,0.7609272886189056,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e14_pca40_cosine.pdf,OK,
80,100,40,cosine,0.35032461509954776,0.7605245400295054,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e100_pca40_cosine.pdf,OK,
80,10,40,euclidean,0.18691083958386828,0.7596196608503858,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_euclidean.pdf,OK,
60,10,40,cosine,0.35032461509954776,0.7594942381839007,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e10_pca40_cosine.pdf,OK,
90,12,40,euclidean,0.18691083958386828,0.7590871384144229,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_euclidean.pdf,OK,
100,14,40,euclidean,0.18691083958386828,0.7588806707395054,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e14_pca40_euclidean.pdf,OK,
20,10,40,manhattan,0.18691083958386828,0.7587017734375772,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e10_pca40_manhattan.pdf,OK,
80,100,40,cosine,0.43902228105585533,0.7583305655726482,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e100_pca40_cosine.pdf,OK,
