Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T00:12:35.720000Z | Window=±12s | Peak=8.8428e+03 | Mean=5.4243e+01
Trigger=2025-02-01T00:48:13.080000Z | Window=±12s | Peak=4.8363e+02 | Mean=2.6053e+00
Trigger=2025-02-01T02:56:39.630000Z | Window=±12s | Peak=2.7224e+02 | Mean=3.0391e+00
Trigger=2025-02-01T02:57:19.780000Z | Window=±12s | Peak=9.0337e+02 | Mean=9.1285e+00
Trigger=2025-02-01T03:42:12.590000Z | Window=±12s | Peak=2.4369e+02 | Mean=4.1198e+00
Trigger=2025-02-01T03:51:45.400000Z | Window=±12s | Peak=7.1229e+02 | Mean=4.7108e+00
Trigger=2025-02-01T03:52:21.480000Z | Window=±12s | Peak=9.3040e+02 | Mean=8.7561e+00
Trigger=2025-02-01T04:26:59.890000Z | Window=±12s | Peak=7.6021e+02 | Mean=2.7664e+00
Trigger=2025-02-01T04:34:33.360000Z | Window=±12s | Peak=1.0685e+03 | Mean=3.4722e+00
Trigger=2025-02-01T04:35:20.980000Z | Window=±12s | Peak=2.9280e+03 | Mean=3.8086e+00
Trigger=2025-02-01T05:08:53.200000Z | Window=±12s | Peak=3.2105e+02 | Mean=4.3687e+00
Trigger=2025-02-01T05:14:02.850000Z | Window=±12s | Peak=1.5994e+02 | Mean=2.7692e+00
Trigger=2025-02-01T05:33:14.970000Z | Window=±12s | Peak=7.3897e+02 | Mean=3.1342e+00
Trigger=2025-02-01T05:39:06.480000Z | Window=±12s | Peak=1.0756e+03 | Mean=5.9291e+00
Trigger=2025-02-01T05:46:05.080000Z | Window=±12s | Peak=1.1516e+03 | Mean=2.9305e+00
Trigger=2025-02-01T06:02:04.580000Z | Window=±12s | Peak=3.2916e+03 | Mean=6.5116e+00
Trigger=2025-02-01T06:15:38.050000Z | Window=±12s | Peak=8.2921e+02 | Mean=8.8635e+00
Trigger=2025-02-01T06:22:16.300000Z | Window=±12s | Peak=8.8468e+02 | Mean=3.4444e+00
Trigger=2025-02-01T06:29:14.420000Z | Window=±12s | Peak=1.9625e+03 | Mean=5.6260e+00
Trigger=2025-02-01T06:37:24.160000Z | Window=±12s | Peak=1.8631e+03 | Mean=6.5594e+00
Trigger=2025-02-01T06:54:26.160000Z | Window=±12s | Peak=9.5744e+02 | Mean=3.1729e+00
Trigger=2025-02-01T06:59:50.620000Z | Window=±12s | Peak=2.3985e+03 | Mean=6.6240e+00
Trigger=2025-02-01T07:20:26.960000Z | Window=±12s | Peak=4.4117e+02 | Mean=4.1384e+00
Trigger=2025-02-01T07:28:43.200000Z | Window=±12s | Peak=4.6672e+02 | Mean=3.1910e+00
Trigger=2025-02-01T08:33:54.130000Z | Window=±12s | Peak=6.7977e+02 | Mean=4.0969e+00
Trigger=2025-02-01T08:47:33.600000Z | Window=±12s | Peak=7.7584e+02 | Mean=4.6792e+00
Trigger=2025-02-01T08:50:06.560000Z | Window=±12s | Peak=1.1128e+03 | Mean=5.3862e+00
Trigger=2025-02-01T09:37:03.270000Z | Window=±12s | Peak=1.4148e+03 | Mean=3.6522e+00
Trigger=2025-02-01T09:48:14.580000Z | Window=±12s | Peak=3.7942e+01 | Mean=2.1571e+00
Trigger=2025-02-01T09:54:05.070000Z | Window=±12s | Peak=3.7887e+02 | Mean=5.6332e+00
Trigger=2025-02-01T09:54:43.890000Z | Window=±12s | Peak=1.2637e+03 | Mean=6.0088e+00
Trigger=2025-02-01T09:58:43.260000Z | Window=±12s | Peak=1.3361e+03 | Mean=4.0395e+00
Trigger=2025-02-01T10:32:01.220000Z | Window=±12s | Peak=1.2854e+03 | Mean=3.3767e+00
Trigger=2025-02-01T10:45:59.350000Z | Window=±12s | Peak=4.3160e+02 | Mean=2.8189e+00
Trigger=2025-02-01T10:47:33.480000Z | Window=±12s | Peak=4.4552e+02 | Mean=4.5628e+00
Trigger=2025-02-01T10:48:00.850000Z | Window=±12s | Peak=4.2322e+03 | Mean=1.0017e+01
Trigger=2025-02-01T11:43:07.310000Z | Window=±12s | Peak=2.9559e+02 | Mean=3.9577e+00
Trigger=2025-02-01T11:49:05.910000Z | Window=±12s | Peak=5.4222e+02 | Mean=4.4358e+00
Trigger=2025-02-01T11:49:30.810000Z | Window=±12s | Peak=1.5595e+03 | Mean=8.5224e+00
Trigger=2025-02-01T11:56:20.460000Z | Window=±12s | Peak=1.4341e+03 | Mean=1.0446e+01
Trigger=2025-02-01T12:17:59.800000Z | Window=±12s | Peak=7.4439e+02 | Mean=2.9660e+00
Trigger=2025-02-01T12:19:29.650000Z | Window=±12s | Peak=2.4692e+02 | Mean=3.6609e+00
Trigger=2025-02-01T12:24:24.550000Z | Window=±12s | Peak=2.0034e+03 | Mean=6.2156e+00
Trigger=2025-02-01T12:34:46.790000Z | Window=±12s | Peak=3.3023e+02 | Mean=2.9059e+00
Trigger=2025-02-01T12:49:53.470000Z | Window=±12s | Peak=7.4214e+02 | Mean=3.2558e+00
Trigger=2025-02-01T12:58:20.970000Z | Window=±12s | Peak=5.5789e+02 | Mean=5.1427e+00
Trigger=2025-02-01T13:09:46.880000Z | Window=±12s | Peak=1.3535e+03 | Mean=4.0521e+00
Trigger=2025-02-01T13:16:27.500000Z | Window=±12s | Peak=9.9170e+02 | Mean=3.4212e+00
Trigger=2025-02-01T13:23:46.120000Z | Window=±12s | Peak=1.0228e+03 | Mean=3.1068e+00
Trigger=2025-02-01T13:26:43.980000Z | Window=±12s | Peak=9.7832e+02 | Mean=5.2234e+00
Trigger=2025-02-01T13:32:02.900000Z | Window=±12s | Peak=1.1267e+03 | Mean=6.2453e+00
Trigger=2025-02-01T13:37:59.490000Z | Window=±12s | Peak=1.3754e+03 | Mean=6.5302e+00
Trigger=2025-02-01T13:48:44.460000Z | Window=±12s | Peak=1.8559e+03 | Mean=4.1354e+00
Trigger=2025-02-01T14:11:29.500000Z | Window=±12s | Peak=7.8486e+02 | Mean=4.5360e+00
