Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[20], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T14:45:38.310000Z | Window=±20s | Peak=2.4121e+03 | Mean=4.4154e+00
Trigger=2025-02-01T15:08:21.500000Z | Window=±20s | Peak=6.4447e+02 | Mean=4.2117e+00
Trigger=2025-02-01T15:09:08.880000Z | Window=±20s | Peak=1.8567e+03 | Mean=1.3936e+01
Trigger=2025-02-01T16:00:06.640000Z | Window=±20s | Peak=4.5145e+02 | Mean=2.7249e+00
Trigger=2025-02-01T16:34:24.830000Z | Window=±20s | Peak=1.3362e+03 | Mean=3.4288e+00
Trigger=2025-02-01T17:06:44.160000Z | Window=±20s | Peak=2.9843e+02 | Mean=2.8972e+00
Trigger=2025-02-01T17:07:26.150000Z | Window=±20s | Peak=1.3551e+03 | Mean=8.2878e+00
Trigger=2025-02-01T17:22:25.360000Z | Window=±20s | Peak=8.1096e+02 | Mean=2.8928e+00
Trigger=2025-02-01T17:29:45.670000Z | Window=±20s | Peak=1.4277e+03 | Mean=4.6421e+00
Trigger=2025-02-01T18:33:54.820000Z | Window=±20s | Peak=6.9916e+02 | Mean=2.9911e+00
Trigger=2025-02-01T19:32:07.020000Z | Window=±20s | Peak=1.4820e+03 | Mean=4.1550e+00
Trigger=2025-02-01T20:41:29.910000Z | Window=±20s | Peak=3.5524e+03 | Mean=4.9809e+00
Trigger=2025-02-01T21:50:35.210000Z | Window=±20s | Peak=8.7111e+02 | Mean=4.1941e+00
Trigger=2025-02-02T01:19:28.620000Z | Window=±20s | Peak=2.5118e+02 | Mean=3.3586e+00
Trigger=2025-02-02T02:05:56.970000Z | Window=±20s | Peak=4.0042e+03 | Mean=3.7960e+00
Trigger=2025-02-02T02:19:17.540000Z | Window=±20s | Peak=1.0365e+04 | Mean=1.6061e+01
Trigger=2025-02-02T02:52:04.390000Z | Window=±20s | Peak=6.4638e+02 | Mean=3.2170e+00
Trigger=2025-02-02T02:52:36.140000Z | Window=±20s | Peak=2.1951e+03 | Mean=9.1691e+00
Trigger=2025-02-02T03:09:08.130000Z | Window=±20s | Peak=4.8961e+02 | Mean=4.1241e+00
Trigger=2025-02-02T03:09:19.460000Z | Window=±20s | Peak=5.0295e+02 | Mean=3.8376e+00
Trigger=2025-02-02T03:09:48.200000Z | Window=±20s | Peak=1.4328e+03 | Mean=9.3219e+00
Trigger=2025-02-02T04:00:26.210000Z | Window=±20s | Peak=6.5826e+02 | Mean=2.8959e+00
Trigger=2025-02-02T04:29:46.130000Z | Window=±20s | Peak=1.0518e+03 | Mean=2.9351e+00
Trigger=2025-02-02T06:43:15.040000Z | Window=±20s | Peak=5.7228e+02 | Mean=5.6982e+00
Trigger=2025-02-02T06:46:17.990000Z | Window=±20s | Peak=4.8403e+03 | Mean=1.0641e+01
Trigger=2025-02-02T07:10:13.330000Z | Window=±20s | Peak=5.5728e+02 | Mean=4.8877e+00
Trigger=2025-02-02T11:14:33.930000Z | Window=±20s | Peak=3.0594e+03 | Mean=4.8115e+00
Trigger=2025-02-02T11:15:13.450000Z | Window=±20s | Peak=2.3967e+03 | Mean=3.0558e+00
