Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T14:45:38.310000Z | Window=±12s | Peak=2.1637e+03 | Mean=5.3972e+00
Trigger=2025-02-01T15:08:21.500000Z | Window=±12s | Peak=4.5493e+02 | Mean=3.2644e+00
Trigger=2025-02-01T15:09:08.880000Z | Window=±12s | Peak=4.2713e+02 | Mean=6.0972e+00
Trigger=2025-02-01T16:00:06.640000Z | Window=±12s | Peak=2.7293e+02 | Mean=2.7175e+00
Trigger=2025-02-01T16:34:24.830000Z | Window=±12s | Peak=1.1285e+03 | Mean=4.3170e+00
Trigger=2025-02-01T17:06:44.160000Z | Window=±12s | Peak=3.7262e+02 | Mean=3.4124e+00
Trigger=2025-02-01T17:07:26.150000Z | Window=±12s | Peak=2.3719e+02 | Mean=3.9423e+00
Trigger=2025-02-01T17:22:25.360000Z | Window=±12s | Peak=7.0826e+02 | Mean=2.7117e+00
Trigger=2025-02-01T17:29:45.670000Z | Window=±12s | Peak=1.0118e+03 | Mean=4.2590e+00
Trigger=2025-02-01T18:33:54.820000Z | Window=±12s | Peak=6.1551e+02 | Mean=2.9275e+00
Trigger=2025-02-01T19:32:07.020000Z | Window=±12s | Peak=2.5069e+03 | Mean=4.2649e+00
Trigger=2025-02-01T20:41:29.910000Z | Window=±12s | Peak=2.9208e+03 | Mean=5.9107e+00
Trigger=2025-02-01T21:50:35.210000Z | Window=±12s | Peak=1.1298e+03 | Mean=4.7954e+00
Trigger=2025-02-02T01:19:28.620000Z | Window=±12s | Peak=1.2069e+02 | Mean=2.8069e+00
Trigger=2025-02-02T02:05:56.970000Z | Window=±12s | Peak=3.1353e+03 | Mean=5.0138e+00
Trigger=2025-02-02T02:19:17.540000Z | Window=±12s | Peak=7.2654e+03 | Mean=1.7108e+01
Trigger=2025-02-02T02:52:04.390000Z | Window=±12s | Peak=7.3192e+02 | Mean=2.9258e+00
Trigger=2025-02-02T02:52:36.140000Z | Window=±12s | Peak=5.4719e+02 | Mean=7.5383e+00
Trigger=2025-02-02T03:09:08.130000Z | Window=±12s | Peak=4.2909e+02 | Mean=4.0945e+00
Trigger=2025-02-02T03:09:19.460000Z | Window=±12s | Peak=4.0098e+02 | Mean=4.4443e+00
Trigger=2025-02-02T03:09:48.200000Z | Window=±12s | Peak=8.8400e+02 | Mean=7.9279e+00
Trigger=2025-02-02T04:00:26.210000Z | Window=±12s | Peak=5.6458e+02 | Mean=3.5036e+00
Trigger=2025-02-02T04:29:46.130000Z | Window=±12s | Peak=9.4977e+02 | Mean=3.0527e+00
Trigger=2025-02-02T06:43:15.040000Z | Window=±12s | Peak=2.3248e+02 | Mean=3.7697e+00
Trigger=2025-02-02T06:46:17.990000Z | Window=±12s | Peak=1.9362e+03 | Mean=8.5472e+00
Trigger=2025-02-02T07:10:13.330000Z | Window=±12s | Peak=5.0813e+02 | Mean=6.3370e+00
Trigger=2025-02-02T11:14:33.930000Z | Window=±12s | Peak=2.0762e+03 | Mean=5.7286e+00
Trigger=2025-02-02T11:15:13.450000Z | Window=±12s | Peak=1.8023e+03 | Mean=3.5122e+00
Trigger=2025-02-02T12:30:32.100000Z | Window=±12s | Peak=3.0213e+03 | Mean=3.3863e+01
