perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
40,14,40,euclidean,0.16680955975035866,0.78426046342611,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p40_e14_pca40_euclidean.pdf,OK,
10,20,40,manhattan,0.16680955975035866,0.7841246245679881,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_manhattan.pdf,OK,
90,10,40,manhattan,0.16680955975035866,0.7840264014620763,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_manhattan.pdf,OK,
30,14,40,euclidean,0.16680955975035866,0.7839457477917248,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p30_e14_pca40_euclidean.pdf,OK,
30,20,40,euclidean,0.16680955975035866,0.7838220332793497,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p30_e20_pca40_euclidean.pdf,OK,
10,300,40,euclidean,0.16680955975035866,0.7838075434448067,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_euclidean.pdf,OK,
50,20,40,euclidean,0.16680955975035866,0.7837321172483109,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e20_pca40_euclidean.pdf,OK,
100,10,40,manhattan,0.16680955975035866,0.7834328819477775,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_manhattan.pdf,OK,
40,20,40,euclidean,0.16680955975035866,0.7833358224969271,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p40_e20_pca40_euclidean.pdf,OK,
10,300,40,manhattan,0.16680955975035866,0.782940600537562,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_manhattan.pdf,OK,
80,10,40,manhattan,0.16680955975035866,0.7828037940237154,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_manhattan.pdf,OK,
20,1000,40,euclidean,0.16680955975035866,0.7827586956686613,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e1000_pca40_euclidean.pdf,OK,
100,12,40,manhattan,0.16680955975035866,0.7819849874634591,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e12_pca40_manhattan.pdf,OK,
10,100,40,euclidean,0.16680955975035866,0.7818717802881248,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
20,10,40,manhattan,0.16680955975035866,0.7814273049501247,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e10_pca40_manhattan.pdf,OK,
90,12,40,manhattan,0.16680955975035866,0.7813205233018812,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_manhattan.pdf,OK,
20,12,40,manhattan,0.16680955975035866,0.7811200078701939,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e12_pca40_manhattan.pdf,OK,
20,14,40,manhattan,0.16680955975035866,0.7810861587600179,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e14_pca40_manhattan.pdf,OK,
20,20,40,manhattan,0.16680955975035866,0.7809260931257774,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e20_pca40_manhattan.pdf,OK,
100,100,40,euclidean,0.16680955975035866,0.7808790487507878,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e100_pca40_euclidean.pdf,OK,
80,12,40,manhattan,0.16680955975035866,0.7808322320465833,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_manhattan.pdf,OK,
10,100,40,manhattan,0.16680955975035866,0.780622193649163,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
70,10,40,manhattan,0.16680955975035866,0.7804166661945873,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e10_pca40_manhattan.pdf,OK,
50,10,40,manhattan,0.16680955975035866,0.7804099571910109,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e10_pca40_manhattan.pdf,OK,
60,10,40,manhattan,0.16680955975035866,0.7802572704167902,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e10_pca40_manhattan.pdf,OK,
100,14,40,manhattan,0.16680955975035866,0.7801449983349589,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e14_pca40_manhattan.pdf,OK,
100,300,40,euclidean,0.16680955975035866,0.7801092941239601,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e300_pca40_euclidean.pdf,OK,
60,12,40,manhattan,0.16680955975035866,0.780087452694209,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e12_pca40_manhattan.pdf,OK,
50,12,40,manhattan,0.16680955975035866,0.7799807432071216,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e12_pca40_manhattan.pdf,OK,
70,12,40,manhattan,0.16680955975035866,0.7796104967564381,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e12_pca40_manhattan.pdf,OK,
80,14,40,manhattan,0.16680955975035866,0.7795418757105294,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e14_pca40_manhattan.pdf,OK,
60,14,40,manhattan,0.16680955975035866,0.7791719224285613,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e14_pca40_manhattan.pdf,OK,
90,14,40,manhattan,0.16680955975035866,0.7789603805243297,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_manhattan.pdf,OK,
100,1000,40,euclidean,0.16680955975035866,0.7789073077902056,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e1000_pca40_euclidean.pdf,OK,
50,14,40,manhattan,0.16680955975035866,0.778758406727261,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e14_pca40_manhattan.pdf,OK,
70,14,40,manhattan,0.16680955975035866,0.778602069828167,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e14_pca40_manhattan.pdf,OK,
100,20,40,manhattan,0.16680955975035866,0.7783945430563558,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_manhattan.pdf,OK,
80,20,40,manhattan,0.16680955975035866,0.7781301752697186,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e20_pca40_manhattan.pdf,OK,
40,10,40,manhattan,0.16680955975035866,0.7779654445889979,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p40_e10_pca40_manhattan.pdf,OK,
70,20,40,manhattan,0.16680955975035866,0.7779223787557952,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e20_pca40_manhattan.pdf,OK,
40,12,40,manhattan,0.16680955975035866,0.7778978467233558,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p40_e12_pca40_manhattan.pdf,OK,
30,10,40,manhattan,0.16680955975035866,0.7774703062747622,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p30_e10_pca40_manhattan.pdf,OK,
30,14,40,manhattan,0.16680955975035866,0.7774394398616264,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p30_e14_pca40_manhattan.pdf,OK,
20,1000,40,manhattan,0.16680955975035866,0.777390253805516,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e1000_pca40_manhattan.pdf,OK,
60,20,40,manhattan,0.16680955975035866,0.7773339092063652,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e20_pca40_manhattan.pdf,OK,
90,20,40,manhattan,0.16680955975035866,0.7772946151917424,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_manhattan.pdf,OK,
