Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 128), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T00:12:35.720000Z | Window=±12s | Peak=8.6900e+03 | Mean=5.5459e+01
Trigger=2025-02-01T00:48:13.080000Z | Window=±12s | Peak=5.3189e+02 | Mean=2.7145e+00
Trigger=2025-02-01T02:56:39.630000Z | Window=±12s | Peak=3.0625e+02 | Mean=3.0875e+00
Trigger=2025-02-01T02:57:19.780000Z | Window=±12s | Peak=1.1031e+03 | Mean=1.0200e+01
Trigger=2025-02-01T03:42:12.590000Z | Window=±12s | Peak=2.9574e+02 | Mean=3.8470e+00
Trigger=2025-02-01T03:51:45.400000Z | Window=±12s | Peak=6.9001e+02 | Mean=4.7665e+00
Trigger=2025-02-01T03:52:21.480000Z | Window=±12s | Peak=9.9121e+02 | Mean=8.9694e+00
Trigger=2025-02-01T04:26:59.890000Z | Window=±12s | Peak=7.2485e+02 | Mean=2.7777e+00
Trigger=2025-02-01T04:34:33.360000Z | Window=±12s | Peak=1.5346e+03 | Mean=3.6011e+00
Trigger=2025-02-01T04:35:20.980000Z | Window=±12s | Peak=5.0721e+03 | Mean=8.6773e+00
Trigger=2025-02-01T05:08:53.200000Z | Window=±12s | Peak=3.2877e+02 | Mean=4.4232e+00
Trigger=2025-02-01T05:14:02.850000Z | Window=±12s | Peak=3.6621e+02 | Mean=2.9774e+00
Trigger=2025-02-01T05:33:14.970000Z | Window=±12s | Peak=6.1348e+02 | Mean=3.1134e+00
Trigger=2025-02-01T05:39:06.480000Z | Window=±12s | Peak=1.1039e+03 | Mean=5.9083e+00
Trigger=2025-02-01T05:46:05.080000Z | Window=±12s | Peak=1.1212e+03 | Mean=2.8669e+00
Trigger=2025-02-01T06:02:04.580000Z | Window=±12s | Peak=3.4817e+03 | Mean=7.0298e+00
Trigger=2025-02-01T06:15:38.050000Z | Window=±12s | Peak=1.2212e+03 | Mean=9.1080e+00
Trigger=2025-02-01T06:22:16.300000Z | Window=±12s | Peak=9.5508e+02 | Mean=3.5472e+00
Trigger=2025-02-01T06:29:14.420000Z | Window=±12s | Peak=1.8552e+03 | Mean=5.7421e+00
