N_Neighbors,Min_dist,Repulsion_str,metric,spearman_rho,p_value,n_pairs,pdf,status,error
1000,0.99,1.0,euclidean,0.4264402744081908,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.99_repstr1.0_euclidean.pdf,OK,
20,0.99,100.0,manhattan,0.42642695983698853,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr100.0_manhattan.pdf,OK,
5,0.1,1.0,euclidean,0.4263363193634823,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.1_repstr1.0_euclidean.pdf,OK,
5,0.8,1.0,manhattan,0.42630098516823617,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.8_repstr1.0_manhattan.pdf,OK,
20,0.1,0.01,cosine,0.4262425378675843,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr0.01_cosine.pdf,OK,
1000,0.99,0.5,euclidean,0.4262351458693468,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.99_repstr0.5_euclidean.pdf,OK,
100,0.5,0.5,cosine,0.42621685828589945,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr0.5_cosine.pdf,OK,
200,0.1,0.5,manhattan,0.42621510061345563,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.1_repstr0.5_manhattan.pdf,OK,
20,0.0,0.5,cosine,0.42617657086431415,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr0.5_cosine.pdf,OK,
5,0.8,1.0,cosine,0.4261373571103551,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.8_repstr1.0_cosine.pdf,OK,
100,0.8,100.0,manhattan,0.42612703780732675,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.8_repstr100.0_manhattan.pdf,OK,
20,0.0,10.0,cosine,0.42611947175365494,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr10.0_cosine.pdf,OK,
5,0.0,100.0,manhattan,0.4261070861753756,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr100.0_manhattan.pdf,OK,
50,0.99,5.0,euclidean,0.42609996087588625,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.99_repstr5.0_euclidean.pdf,OK,
5,0.25,100.0,euclidean,0.4260824722244848,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.25_repstr100.0_euclidean.pdf,OK,
100,0.0,0.01,manhattan,0.42606956184749895,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr0.01_manhattan.pdf,OK,
2,0.8,5.0,cosine,0.4260401206070524,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.8_repstr5.0_cosine.pdf,OK,
2,0.0,2.0,cosine,0.426017840673827,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.0_repstr2.0_cosine.pdf,OK,
