Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (1, 50), QRANGE = (16, 64), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 10.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T12:30:34.920000Z | Window=±12s | Peak=6.2159e+02 | Mean=1.3521e+01
Trigger=2025-02-02T20:54:27.190000Z | Window=±12s | Peak=1.7044e+01 | Mean=1.5213e+00
Trigger=2025-02-03T01:11:37.160000Z | Window=±12s | Peak=1.7443e+01 | Mean=1.5064e+00
Trigger=2025-02-03T02:50:51.520000Z | Window=±12s | Peak=1.8605e+01 | Mean=1.4486e+00
Trigger=2025-02-03T03:13:02.130000Z | Window=±12s | Peak=1.7652e+01 | Mean=1.4806e+00
Trigger=2025-02-03T09:48:44.540000Z | Window=±12s | Peak=8.5522e+02 | Mean=3.3873e+00
Trigger=2025-02-03T12:26:41.330000Z | Window=±12s | Peak=2.5385e+01 | Mean=1.5961e+00
Trigger=2025-02-03T12:45:29.360000Z | Window=±12s | Peak=1.9561e+02 | Mean=1.8642e+00
Trigger=2025-02-03T14:55:03.140000Z | Window=±12s | Peak=1.3031e+02 | Mean=1.9550e+00
Trigger=2025-02-03T15:10:39.800000Z | Window=±12s | Peak=2.7523e+02 | Mean=1.8717e+00
Trigger=2025-02-03T18:14:29.800000Z | Window=±12s | Peak=2.4328e+02 | Mean=1.7927e+00
Trigger=2025-02-03T18:20:40.740000Z | Window=±12s | Peak=3.5180e+02 | Mean=2.2319e+00
Trigger=2025-02-04T02:17:24.730000Z | Window=±12s | Peak=1.8202e+01 | Mean=1.4350e+00
Trigger=2025-02-04T03:43:25.970000Z | Window=±12s | Peak=3.2157e+01 | Mean=1.5239e+00
Trigger=2025-02-04T05:11:16.330000Z | Window=±12s | Peak=9.4986e+02 | Mean=4.7981e+00
Trigger=2025-02-04T17:46:18.060000Z | Window=±12s | Peak=1.5735e+02 | Mean=1.8695e+00
Trigger=2025-02-05T19:17:37.710000Z | Window=±12s | Peak=1.6913e+02 | Mean=2.4208e+00
