Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (1, 50), QRANGE = (32, 64), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 10.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T12:30:34.920000Z | Window=±12s | Peak=3.6253e+02 | Mean=9.3624e+00
Trigger=2025-02-02T20:54:27.190000Z | Window=±12s | Peak=1.6328e+01 | Mean=1.5085e+00
Trigger=2025-02-03T01:11:37.160000Z | Window=±12s | Peak=2.2261e+01 | Mean=1.5117e+00
Trigger=2025-02-03T02:50:51.520000Z | Window=±12s | Peak=1.5360e+01 | Mean=1.4302e+00
Trigger=2025-02-03T03:13:02.130000Z | Window=±12s | Peak=1.3706e+01 | Mean=1.4534e+00
Trigger=2025-02-03T09:48:44.540000Z | Window=±12s | Peak=8.3763e+02 | Mean=3.3451e+00
Trigger=2025-02-03T12:26:41.330000Z | Window=±12s | Peak=2.4861e+01 | Mean=1.5947e+00
Trigger=2025-02-03T12:45:29.360000Z | Window=±12s | Peak=1.1405e+02 | Mean=1.8770e+00
Trigger=2025-02-03T14:55:03.140000Z | Window=±12s | Peak=1.1786e+02 | Mean=1.9748e+00
Trigger=2025-02-03T15:10:39.800000Z | Window=±12s | Peak=2.6114e+02 | Mean=1.8425e+00
Trigger=2025-02-03T18:14:29.800000Z | Window=±12s | Peak=2.3785e+02 | Mean=1.8744e+00
Trigger=2025-02-03T18:20:40.740000Z | Window=±12s | Peak=3.5921e+02 | Mean=2.2343e+00
Trigger=2025-02-04T02:17:24.730000Z | Window=±12s | Peak=1.8023e+01 | Mean=1.4523e+00
Trigger=2025-02-04T03:43:25.970000Z | Window=±12s | Peak=3.1779e+01 | Mean=1.5200e+00
Trigger=2025-02-04T05:11:16.330000Z | Window=±12s | Peak=7.8013e+02 | Mean=4.6922e+00
Trigger=2025-02-04T17:46:18.060000Z | Window=±12s | Peak=1.6626e+02 | Mean=1.8785e+00
Trigger=2025-02-05T19:17:37.710000Z | Window=±12s | Peak=1.2391e+02 | Mean=2.4189e+00
